H,S,B, H,S,B, H,S,B, H,S,B, H,S,B
199,38,90,192,82,74,200,97,28,43,99,100,32,100,98
74,18,84,67,15,93,52,12,100,43,18,98,30,46,83
37,61,96,31,9,97,8,20,96,165,20,65,1,46,95
193,50,40,51,31,100,36,72,88,359,73,62,358,87,33
0,47,94, 5,42,96, 11,37,97, 19,32,98, 28,27,100
201,100,65, 205,98,100, 39,74,100, 338,92,85, 335,69,56
179,40,95, 345,16,100, 50,38,100, 100,35,98, 143,49,95
358,65,100, 44,77,100, 83,81,79, 203,87,77, 265,48,58
212,84,45, 215,79,36, 213,84,27, 209,28,77, 111,3,96
229,97,78,208,88,99, 204,35,98, 58,100,99, 47,100,100
181,82,82, 0,0,100, 24,12,99, 17,64,100, 349,65,92
278,18,86, 337,22,100, 338,31,100, 208,26,100, 209,36,100
267,59,90, 324,65,95, 52,75,10, 195,100,98, 172,100,96
297,97,15, 100,1,100, 174,77,77, 353,85,91, 35,89,100
196,78,62, 174,88,76, 37,53,100, 40,6,100, 358,57,100
0,5,15, 221,20,55, 30,3,96, 44,14,85, 33,21,66
34,9,95, 28,57,75, 13,63,37, 23,60,54, 23,28,85
346,96,93, 52,55,98, 140,99,65, 216,100,100, 25,80,100
